,id,i1,i2,result,decision,doi
459,459,m,m,m,m,10.1123/ijspp.2018-0411
460,460,NA,NA,NA,NA,10.1186/s12966-017-0513-z
461,461,NA,NA,NA,NA,10.1123/ijspp.2019-0031
462,462,m,m,m,m,10.1371/journal.pbio.3000988
463,463,NA,NA,NA,NA,10.15537/smj.2019.8.24332
464,464,NA,NA,NA,NA,10.1519/JSC.0000000000003199
465,465,m,m,m,m,10.3390/jcm11051326
466,466,NA,NA,NA,NA,10.1007/s00421-019-04218-2
467,467,NA,NA,NA,NA,10.3389/fphys.2020.573660
468,468,NA,m,XXX,m,10.1016/j.jspd.2017.04.001
469,469,NA,NA,NA,NA,10.1249/MSS.0000000000002764
470,470,NA,NA,NA,NA,10.1111/sms.13590
471,471,r,r,r,r,10.1007/s40279-020-01322-8
472,472,r,r,r,r,10.3233/JAD-181089
473,473,NA,NA,NA,NA,10.1371/journal.pone.0200517
474,474,r,m,XXX,r,10.1038/s41598-021-94768-3
475,475,h,h,h,h,10.3389/fphys.2018.00704
476,476,NA,m,XXX,NA,10.1111/sms.13333
477,477,r,h,XXX,r,10.1139/cjz-2016-0314
478,478,NA,NA,NA,NA,10.1016/j.jtherbio.2016.11.018
479,479,NA,NA,NA,NA,10.23736/S0393-3660.18.03987-6
480,480,m,m,m,m,10.14198/jhse.2019.14.Proc5.20
481,481,NA,NA,NA,NA,10.1152/japplphysiol.00349.2020
482,482,NA,NA,NA,NA,10.3390/ijerph18137124
483,483,NA,NA,NA,NA,10.3389/fpubh.2021.666019
484,484,m,m,m,m,10.4274/tjod.galenos.2021.72547
485,485,NA,NA,NA,NA,10.1007/s00421-019-04133-6
486,486,NA,NA,NA,NA,10.23736/S0022-4707.21.12313-8
487,487,h,h,h,h,10.1186/s12944-019-0960-4
488,488,NA,NA,NA,NA,10.1249/01.mss.0000518994.17089.28
489,489,NA,NA,NA,NA,10.1002/ijc.32819
490,490,r,r,r,r,10.1016/j.rehab.2021.101584
491,491,m,m,m,m,10.1093/ehjci/jeaa085
492,492,NA,NA,NA,NA,10.1016/j.anpede.2020.11.016
493,493,NA,NA,NA,NA,10.3390/sports7030063
494,494,r,r,r,r,10.3390/jfmk6030069
495,495,NA,NA,NA,NA,10.3390/ijerph18052293
496,496,NA,NA,NA,NA,10.1016/j.mayocpiqo.2018.03.001
497,497,NA,NA,NA,NA,10.1016/j.orcp.2016.09.009
498,498,NA,NA,NA,NA,10.1080/02701367.2019.1571676
499,499,NA,NA,NA,NA,10.1186/s12986-020-00436-0
500,500,NA,NA,NA,NA,10.1249/01.mss.0000517620.18154.8f
