PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"34108275","A Systematic Review on Markers of Functional Overreaching in Endurance Athletes","Roete AJ, Elferink-Gemser MT, Otter RTA, Stoter IK, Lamberts RP.","Int J Sports Physiol Perform. 2021 Jun 8:1-9. doi: 10.1123/ijspp.2021-0024. Online ahead of print.","Roete AJ","Int J Sports Physiol Perform","2021","2021/06/10","","","10.1123/ijspp.2021-0024"
"34108259","Extracellular Acidity Reprograms Macrophage Metabolism and Innate Responsiveness","Jiang W, Le J, Wang PY, Cheng X, Smelkinson M, Dong W, Yang C, Chu Y, Hwang PM, Munford RS, Lu M.","J Immunol. 2021 Jun 15;206(12):3021-3031. doi: 10.4049/jimmunol.2100014. Epub 2021 Jun 9.","Jiang W","J Immunol","2021","2021/06/10","PMC8655318","NIHMS1695665","10.4049/jimmunol.2100014"
"34106134","[Effects of physical exercise on aerobic fitness and cognition in older women with type 2 diabetes mellitus]","Molina-Sotomayor E, Gómez-Campos R, Ulloa-Tapia E, Arroyo-Jofre P, González-Jurado J, Celis-Morales C, Rodríguez-Rodríguez F, Cossio-Bolaños M.","Rev Med Chil. 2021 Jan;149(1):37-44. doi: 10.4067/S0034-98872021000100037.","Molina-Sotomayor E","Rev Med Chil","2021","2021/06/09","","","10.4067/S0034-98872021000100037"
"34103623","Independent influence of age on heart rate recovery after flywheel exercise in trained men and women","Zubac D, Goswami N, Ivančev V, Valić Z, Šimunič B.","Sci Rep. 2021 Jun 8;11(1):12011. doi: 10.1038/s41598-021-91565-w.","Zubac D","Sci Rep","2021","2021/06/09","PMC8187710","","10.1038/s41598-021-91565-w"
"34095257","The Relationship of Dehydration and Body Mass Index With the Occurrence of Atrial Fibrillation in Heart Failure Patients","Chuda A, Kaszkowiak M, Banach M, Maciejewski M, Bielecka-Dabrowa A.","Front Cardiovasc Med. 2021 May 20;8:668653. doi: 10.3389/fcvm.2021.668653. eCollection 2021.","Chuda A","Front Cardiovasc Med","2021","2021/06/07","PMC8172600","","10.3389/fcvm.2021.668653"
"34094759","Respiratory Muscle Strength: New Technology for Easy Assessment","Stavrou VT, Tourlakopoulos KN, Daniil Z, Gourgoulianis KI.","Cureus. 2021 May 2;13(5):e14803. doi: 10.7759/cureus.14803.","Stavrou VT","Cureus","2021","2021/06/07","PMC8168762","","10.7759/cureus.14803"
"34093233","Aerobic and Anaerobic Speed Predicts 800-m Running Performance in Young Recreational Runners","Støren Ø, Helgerud J, Johansen JM, Gjerløw LE, Aamlid A, Støa EM.","Front Physiol. 2021 May 21;12:672141. doi: 10.3389/fphys.2021.672141. eCollection 2021.","Støren Ø","Front Physiol","2021","2021/06/07","PMC8176219","","10.3389/fphys.2021.672141"
"34092508","Aerobic fitness as a parameter of importance for labour loss in the heat","Foster J, Smallcombe JW, Hodder SG, Jay O, Flouris AD, Morris NB, Nybo L, Havenith G.","J Sci Med Sport. 2021 Aug;24(8):824-830. doi: 10.1016/j.jsams.2021.05.002. Epub 2021 May 8.","Foster J","J Sci Med Sport","2021","2021/06/07","","","10.1016/j.jsams.2021.05.002"
"34092191","Beta-alanine did not improve high-intensity performance throughout simulated road cycling","Perim P, Gobbi N, Duarte B, Farias de Oliveira L, Costa LAR, Sale C, Gualano B, Dolan E, Saunders B.","Eur J Sport Sci. 2021 Jun 22:1-10. doi: 10.1080/17461391.2021.1940304. Online ahead of print.","Perim P","Eur J Sport Sci","2021","2021/06/07","","","10.1080/17461391.2021.1940304"
"34088883","Variability in Submaximal Self-Paced Exercise Bouts of Different Intensity and Duration","O'Grady C, Passfield L, Hopker JG.","Int J Sports Physiol Perform. 2021 Jun 4;16(12):1824-1833. doi: 10.1123/ijspp.2020-0785.","O'Grady C","Int J Sports Physiol Perform","2021","2021/06/05","","","10.1123/ijspp.2020-0785"
"34088882","Genetic Polymorphisms Related to VO2max Adaptation Are Associated With Elite Rugby Union Status and Competitive Marathon Performance","Hall ECR, Almeida SS, Heffernan SM, Lockey SJ, Herbert AJ, Callus P, Day SH, Pedlar CR, Kipps C, Collins M, Pitsiladis YP, Bennett MA, Kilduff LP, Stebbings GK, Erskine RM, Williams AG.","Int J Sports Physiol Perform. 2021 Jun 4;16(12):1858-1864. doi: 10.1123/ijspp.2020-0856.","Hall ECR","Int J Sports Physiol Perform","2021","2021/06/05","","","10.1123/ijspp.2020-0856"
"34088269","Clinical performance and exercise hemodynamics in patients with severe secondary tricuspid regurgitation and chronic atrial fibrillation","Jensen JK, Clemmensen TS, Frederiksen CA, Schofer J, Andersen MJ, Poulsen SH.","BMC Cardiovasc Disord. 2021 Jun 4;21(1):276. doi: 10.1186/s12872-021-02094-3.","Jensen JK","BMC Cardiovasc Disord","2021","2021/06/05","PMC8178928","","10.1186/s12872-021-02094-3"
"34085945","Smartphone-Based VO2max Measurement With Heart Snapshot in Clinical and Real-world Settings With a Diverse Population: Validation Study","Webster DE, Tummalacherla M, Higgins M, Wing D, Ashley E, Kelly VE, McConnell MV, Muse ED, Olgin JE, Mangravite LM, Godino J, Kellen MR, Omberg L.","JMIR Mhealth Uhealth. 2021 Jun 4;9(6):e26006. doi: 10.2196/26006.","Webster DE","JMIR Mhealth Uhealth","2021","2021/06/04","PMC8214186","","10.2196/26006"
"34081058","Effects of Including Sprints in LIT Sessions during a 14-d Camp on Muscle Biology and Performance Measures in Elite Cyclists","Almquist NW, Wilhelmsen M, Ellefsen S, Sandbakk Ø, Rønnestad BR.","Med Sci Sports Exerc. 2021 Nov 1;53(11):2333-2345. doi: 10.1249/MSS.0000000000002709.","Almquist NW","Med Sci Sports Exerc","2021","2021/06/03","","","10.1249/MSS.0000000000002709"
"34079172","Effects of 7-day intake of hydrogen-rich water on physical performance of trained and untrained subjects","Timón R, Olcina G, González-Custodio A, Camacho-Cardenosa M, Camacho-Cardenosa A, Martínez Guardado I.","Biol Sport. 2021 Jun;38(2):269-275. doi: 10.5114/biolsport.2020.98625. Epub 2020 Oct 22.","Timón R","Biol Sport","2021","2021/06/03","PMC8139351","","10.5114/biolsport.2020.98625"
"34079162","Effects of 1 vs. 2 sessions per week of equal-volume sprint training on explosive, high-intensity and endurance-intensive performances in young soccer players","Marzouki H, Ouergui I, Doua N, Gmada N, Bouassida A, Bouhlel E.","Biol Sport. 2021 Jun;38(2):175-183. doi: 10.5114/biolsport.2020.97675. Epub 2020 Aug 31.","Marzouki H","Biol Sport","2021","2021/06/03","PMC8139356","","10.5114/biolsport.2020.97675"
"34077447","Effects of a period without mandatory physical training on maximum oxygen uptake and anthropometric parameters in naval cadets","Huerta Ojeda Á, Barahona-Fuentes G, Galdames Maliqueo S.","PLoS One. 2021 Jun 2;16(6):e0251516. doi: 10.1371/journal.pone.0251516. eCollection 2021.","Huerta Ojeda Á","PLoS One","2021","2021/06/02","PMC8171865","","10.1371/journal.pone.0251516"
"34075130","Insulin-mediated muscle microvascular perfusion and its phenotypic predictors in humans","Love KM, Jahn LA, Hartline LM, Patrie JT, Barrett EJ, Liu Z.","Sci Rep. 2021 Jun 1;11(1):11433. doi: 10.1038/s41598-021-90935-8.","Love KM","Sci Rep","2021","2021/06/02","PMC8169863","","10.1038/s41598-021-90935-8"
"34073700","Physiological and Psychological Responses to Three Distinct Exercise Training Regimens Performed in an Outdoor Setting: Acute and Delayed Response","Benítez-Flores S, Magallanes CA, Alberton CL, Astorino TA.","J Funct Morphol Kinesiol. 2021 May 24;6(2):44. doi: 10.3390/jfmk6020044.","Benítez-Flores S","J Funct Morphol Kinesiol","2021","2021/06/02","PMC8162530","","10.3390/jfmk6020044"
"34073418","Does the Multistage 20-m Shuttle Run Test Accurately Predict VO(2max) in NCAA Division I Women Collegiate Field Hockey Athletes?","Magee MK, White JB, Merrigan JJ, Jones MT.","Sports (Basel). 2021 May 26;9(6):75. doi: 10.3390/sports9060075.","Magee MK","Sports (Basel)","2021","2021/06/02","PMC8229670","","10.3390/sports9060075"
"34070731","Task-Oriented Circuit Training as an Alternative to Ergometer-Type Aerobic Exercise Training after Stroke","Kelly LP, Devasahayam AJ, Chaves AR, Curtis ME, Randell EW, McCarthy J, Basset FA, Ploughman M.","J Clin Med. 2021 May 30;10(11):2423. doi: 10.3390/jcm10112423.","Kelly LP","J Clin Med","2021","2021/06/02","PMC8198652","","10.3390/jcm10112423"
"34070695","Cardiopulmonary Exercise Test in Patients with Hypertrophic Cardiomyopathy: A Systematic Review and Meta-Analysis","Bayonas-Ruiz A, Muñoz-Franco FM, Ferrer V, Pérez-Caballero C, Sabater-Molina M, Tomé-Esteban MT, Bonacasa B.","J Clin Med. 2021 May 25;10(11):2312. doi: 10.3390/jcm10112312.","Bayonas-Ruiz A","J Clin Med","2021","2021/06/02","PMC8198116","","10.3390/jcm10112312"
"34070541","Association between Creativity and Memory with Cardiorespiratory Fitness and Lifestyle among Chilean Schoolchildren","Caamaño-Navarrete F, Latorre-Román PÁ, Párraga-Montilla JA, Álvarez C, Delgado-Floody P.","Nutrients. 2021 May 25;13(6):1799. doi: 10.3390/nu13061799.","Caamaño-Navarrete F","Nutrients","2021","2021/06/02","PMC8227713","","10.3390/nu13061799"
"34069245","Fluctuations in Well-Being Based on Position in Elite Young Soccer Players during a Full Season","Nobari H, Fani M, Pardos-Mainer E, Pérez-Gómez J.","Healthcare (Basel). 2021 May 14;9(5):586. doi: 10.3390/healthcare9050586.","Nobari H","Healthcare (Basel)","2021","2021/06/02","PMC8156560","","10.3390/healthcare9050586"
"34068574","Somatotype, Accumulated Workload, and Fitness Parameters in Elite Youth Players: Associations with Playing Position","Nobari H, Oliveira R, Clemente FM, Pérez-Gómez J, Pardos-Mainer E, Ardigò LP.","Children (Basel). 2021 May 10;8(5):375. doi: 10.3390/children8050375.","Nobari H","Children (Basel)","2021","2021/06/02","PMC8151242","","10.3390/children8050375"
"34067480","Cardiac Rehabilitation and Physical Performance in Patients after Myocardial Infarction: Preliminary Research","Grochulska A, Glowinski S, Bryndal A.","J Clin Med. 2021 May 22;10(11):2253. doi: 10.3390/jcm10112253.","Grochulska A","J Clin Med","2021","2021/06/02","PMC8196956","","10.3390/jcm10112253"
"34064614","25-Hydroxyvitamin D and Cardiorespiratory Fitness in Prepubertal Overweight and Obese Children","Villalba-Heredia L, Comeras-Chueca C, González-Agüero A, Domingo-Del-Val D, Calmarza P, Vicente-Rodríguez G, Casajús JA, Matute-Llorente Á.","Nutrients. 2021 May 11;13(5):1597. doi: 10.3390/nu13051597.","Villalba-Heredia L","Nutrients","2021","2021/06/02","PMC8151824","","10.3390/nu13051597"
"34064599","Influence of Personal Protective Equipment on Wildland Firefighters' Physiological Response and Performance during the Pack Test","Carballo-Leyenda B, Gutiérrez-Arroyo J, García-Heras F, Sánchez-Collado P, Villa-Vicente JG, Rodríguez-Marroyo JA.","Int J Environ Res Public Health. 2021 May 11;18(10):5050. doi: 10.3390/ijerph18105050.","Carballo-Leyenda B","Int J Environ Res Public Health","2021","2021/06/02","PMC8151886","","10.3390/ijerph18105050"
"34064188","Race Performance Prediction from the Physiological Profile in National Level Youth Cross-Country Cyclists","Mirizio GG, Muñoz R, Muñoz L, Ahumada F, Del Coso J.","Int J Environ Res Public Health. 2021 May 21;18(11):5535. doi: 10.3390/ijerph18115535.","Mirizio GG","Int J Environ Res Public Health","2021","2021/06/02","PMC8196776","","10.3390/ijerph18115535"
"34063524","The Effect of High-Intensity Interval Training Periods on Morning Serum Testosterone and Cortisol Levels and Physical Fitness in Men Aged 35-40 Years","Ambroży T, Rydzik Ł, Obmiński Z, Błach W, Serafin N, Błach B, Jaszczur-Nowicki J, Ozimek M.","J Clin Med. 2021 May 15;10(10):2143. doi: 10.3390/jcm10102143.","Ambroży T","J Clin Med","2021","2021/06/02","PMC8156527","","10.3390/jcm10102143"
"34063304","The Effects of the Combination of High-Intensity Interval Training with 3D-Multiple Object Tracking Task on Perceptual-Cognitive Performance: A Randomized Controlled Intervention Trial","Park SY, Klotzbier TJ, Schott N.","Int J Environ Res Public Health. 2021 May 2;18(9):4862. doi: 10.3390/ijerph18094862.","Park SY","Int J Environ Res Public Health","2021","2021/06/02","PMC8125741","","10.3390/ijerph18094862"
"34062449","Myokine secretion following moderate-intensity endurance exercise under different environmental temperatures","Tsuchiya Y, Goto K.","Cytokine. 2021 Aug;144:155553. doi: 10.1016/j.cyto.2021.155553. Epub 2021 May 29.","Tsuchiya Y","Cytokine","2021","2021/06/01","","","10.1016/j.cyto.2021.155553"
"34059616","[Determinants of body satisfaction in adolescents.]","Jiménez Boraita R, Arriscado Alsina D, Dalmau Torres JM, Gargallo Ibort E.","Rev Esp Salud Publica. 2021 Jun 1;95:e202106077.","Jiménez Boraita R","Rev Esp Salud Publica","2021","2021/06/01","","",""
"34055164","Do Critical and Functional Threshold Powers Equate in Highly-Trained Athletes?","McGrath E, Mahony N, Fleming N, Raleigh C, Donne B.","Int J Exerc Sci. 2021 Apr 1;14(4):45-59. eCollection 2021.","McGrath E","Int J Exerc Sci","2021","2021/05/31","PMC8136559","",""
"34055153","Effects of Caffeine on Exercise Duration, Critical Velocity, and Ratings of Perceived Exertion During Repeated-Sprint Exercise in Physically Active Men","Stein JA, Gasier HG, Goodman BD, Ramirez MR, Delatorre BP, Beattie CM, Barstow TJ, Heinrich KM.","Int J Exerc Sci. 2021 Apr 1;14(2):435-445. eCollection 2021.","Stein JA","Int J Exerc Sci","2021","2021/05/31","PMC8136552","",""
"34054580","Estimation of Health-Related Physical Fitness Using Multiple Linear Regression in Korean Adults: National Fitness Award 2015-2019","Kim SW, Park HY, Jung H, Lee J, Lim K.","Front Physiol. 2021 May 13;12:668055. doi: 10.3389/fphys.2021.668055. eCollection 2021.","Kim SW","Front Physiol","2021","2021/05/31","PMC8155701","","10.3389/fphys.2021.668055"
"34054256","The Chinese (Mandarin) instructions of the 6-minute walk test: A validation study","Tan VZ, Lee MQ, Wong DL, Huang KS, Chan MY, Yan CC, Yeung MT.","Hong Kong Physiother J. 2021 Jun;41(1):45-53. doi: 10.1142/S1013702521500049. Epub 2021 Jan 13.","Tan VZ","Hong Kong Physiother J","2021","2021/05/31","PMC8158409","","10.1142/S1013702521500049"
"34052249","Afternoon aerobic and resistance exercise have limited impact on 24-h CGM outcomes in adults with type 1 diabetes: A secondary analysis","Brockman NK, Sigal RJ, Kenny GP, Riddell MC, Perkins BA, Yardley JE.","Diabetes Res Clin Pract. 2021 Jul;177:108874. doi: 10.1016/j.diabres.2021.108874. Epub 2021 May 28.","Brockman NK","Diabetes Res Clin Pract","2021","2021/05/30","","","10.1016/j.diabres.2021.108874"
"34049699","High-Intensity Training for 6 Months Safely, but Only Temporarily, Improves Exercise Capacity in Selected Solid Organ Transplant Recipients","Cappelle M, Masschelein E, Vos R, Van Remoortel H, Smets S, Vanbekbergen J, Verreydt J, Troosters T, Goetschalckx K, Gosselink R, Monbaliu D.","Transplant Proc. 2021 Jul-Aug;53(6):1836-1845. doi: 10.1016/j.transproceed.2021.03.040. Epub 2021 May 25.","Cappelle M","Transplant Proc","2021","2021/05/29","","","10.1016/j.transproceed.2021.03.040"
"34048998","Effect of glucose concentration and cryopreservation on mitochondrial functions of bull spermatozoa and relationship with sire conception rate","Moraes CR, Moraes LE, Blawut B, Benej M, Papandreou I, Denko NC, Coutinho da Silva M.","Anim Reprod Sci. 2021 Jul;230:106779. doi: 10.1016/j.anireprosci.2021.106779. Epub 2021 May 23.","Moraes CR","Anim Reprod Sci","2021","2021/05/28","","","10.1016/j.anireprosci.2021.106779"
"34047704","Examining the Impact of a Mobile Health App on Functional Movement and Physical Fitness: Pilot Pragmatic Randomized Controlled Trial","Stork MJ, Bell EG, Jung ME.","JMIR Mhealth Uhealth. 2021 May 28;9(5):e24076. doi: 10.2196/24076.","Stork MJ","JMIR Mhealth Uhealth","2021","2021/05/28","PMC8196352","","10.2196/24076"
"34046817","Eight-week high-intensity interval training is associated with improved sleep quality and cardiorespiratory fitness in patients with depressive disorders","Jahrami H, BaHammam AS, Stubbs B, Sabah A, Saif Z, Bragazzi NL, Vitiello MV.","Sleep Breath. 2022 Mar;26(1):397-406. doi: 10.1007/s11325-021-02388-y. Epub 2021 May 27.","Jahrami H","Sleep Breath","2022","2021/05/28","","","10.1007/s11325-021-02388-y"
"34045743","Human plasma proteomic profiles indicative of cardiorespiratory fitness","Robbins JM, Peterson B, Schranner D, Tahir UA, Rienmüller T, Deng S, Keyes MJ, Katz DH, Beltran PMJ, Barber JL, Baumgartner C, Carr SA, Ghosh S, Shen C, Jennings LL, Ross R, Sarzynski MA, Bouchard C, Gerszten RE.","Nat Metab. 2021 Jun;3(6):786-797. doi: 10.1038/s42255-021-00400-z. Epub 2021 May 27.","Robbins JM","Nat Metab","2021","2021/05/28","","","10.1038/s42255-021-00400-z"
"34045613","Metabolomic analysis of skeletal muscle before and after strenuous exercise to fatigue","Ohmura H, Mukai K, Takahashi Y, Takahashi T.","Sci Rep. 2021 May 27;11(1):11261. doi: 10.1038/s41598-021-90834-y.","Ohmura H","Sci Rep","2021","2021/05/28","PMC8160181","","10.1038/s41598-021-90834-y"
"34044367","Morning Preconditioning Exercise Does Not Increase Afternoon Performance in Competitive Runners","Dahl EB, Øygard E, Paulsen G, Rud B, Losnegard T.","Int J Sports Physiol Perform. 2021 May 27;16(12):1816-1823. doi: 10.1123/ijspp.2020-0747.","Dahl EB","Int J Sports Physiol Perform","2021","2021/05/27","","","10.1123/ijspp.2020-0747"
"34043472","The effect of seasonal acclimatization on whole body heat loss response during exercise in a hot humid environment with different air velocity","Lei TH, Fujiwara M, Gerrett N, Amano T, Mündel T, Inoue Y, Okushima D, Nishiyasu T, Kondo N.","J Appl Physiol (1985). 2021 Aug 1;131(2):520-531. doi: 10.1152/japplphysiol.00837.2020. Epub 2021 May 27.","Lei TH","J Appl Physiol (1985)","2021","2021/05/27","","","10.1152/japplphysiol.00837.2020"
"34043470","Effects of short-term graded dietary carbohydrate intake on intramuscular and whole body metabolism during moderate-intensity exercise","Maunder E, Bradley HE, Deane CS, Hodgson AB, Jones M, Joanisse S, Turner AM, Breen L, Philp A, Wallis GA.","J Appl Physiol (1985). 2021 Jul 1;131(1):376-387. doi: 10.1152/japplphysiol.00811.2020. Epub 2021 May 27.","Maunder E","J Appl Physiol (1985)","2021","2021/05/27","","","10.1152/japplphysiol.00811.2020"
"34039773","Traditional Lègong Dance Training Is Superior to Moderate Aerobic Training on Physical Fitness Improvement Among Young Girls","Griadhi IPA, Adiatmika IPG, Tirtayasa IK.","J Phys Act Health. 2021 May 26;18(7):826-831. doi: 10.1123/jpah.2020-0816. Print 2021 Jul 1.","Griadhi IPA","J Phys Act Health","2021","2021/05/27","","","10.1123/jpah.2020-0816"
"34039357","Taurine in sports and exercise","Kurtz JA, VanDusseldorp TA, Doyle JA, Otis JS.","J Int Soc Sports Nutr. 2021 May 26;18(1):39. doi: 10.1186/s12970-021-00438-0.","Kurtz JA","J Int Soc Sports Nutr","2021","2021/05/27","PMC8152067","","10.1186/s12970-021-00438-0"
"34036650","Biological and methodological factors affecting V̇O2max response variability to endurance training and the influence of exercise intensity prescription","Meyler S, Bottoms L, Muniz-Pumares D.","Exp Physiol. 2021 Jul;106(7):1410-1424. doi: 10.1113/EP089565. Epub 2021 Jun 8.","Meyler S","Exp Physiol","2021","2021/05/26","","","10.1113/EP089565"
"34033621","Caffeine Increases Exercise Performance, Maximal Oxygen Uptake, and Oxygen Deficit in Elite Male Endurance Athletes","Stadheim HK, Stensrud T, Brage S, Jensen J.","Med Sci Sports Exerc. 2021 Nov 1;53(11):2264-2273. doi: 10.1249/MSS.0000000000002704.","Stadheim HK","Med Sci Sports Exerc","2021","2021/05/25","","","10.1249/MSS.0000000000002704"
"34028235","The effect of one bout submaximal endurance exercise on the innate and adaptive immune responses of hypertensive patients","Valizadeh R, Karampour S, Saiiari A, Sadeghi S.","J Sports Med Phys Fitness. 2022 Feb;62(2):244-249. doi: 10.23736/S0022-4707.21.11941-3. Epub 2021 May 24.","Valizadeh R","J Sports Med Phys Fitness","2022","2021/05/24","","","10.23736/S0022-4707.21.11941-3"
"34025444","Exercise Preconditioning Promotes Autophagy to Cooperate for Cardioprotection by Increasing LC3 Lipidation-Associated Proteins","Wan DF, Pan SS, Tong YS, Huang Y.","Front Physiol. 2021 May 5;12:599892. doi: 10.3389/fphys.2021.599892. eCollection 2021.","Wan DF","Front Physiol","2021","2021/05/24","PMC8131968","","10.3389/fphys.2021.599892"
"34025349","The Val66 and Met66 Alleles-Specific Expression of BDNF in Human Muscle and Their Metabolic Responsivity","de Assis GG, Hoffman JR, Bojakowski J, Murawska-Ciałowicz E, Cięszczyk P, Gasanov EV.","Front Mol Neurosci. 2021 May 5;14:638176. doi: 10.3389/fnmol.2021.638176. eCollection 2021.","de Assis GG","Front Mol Neurosci","2021","2021/05/24","PMC8131668","","10.3389/fnmol.2021.638176"
"34024703","Physical activity in management of persons with obesity","Oppert JM, Bellicha A, Ciangura C.","Eur J Intern Med. 2021 Nov;93:8-12. doi: 10.1016/j.ejim.2021.04.028. Epub 2021 May 21.","Oppert JM","Eur J Intern Med","2021","2021/05/24","","","10.1016/j.ejim.2021.04.028"
"34021095","The Effect of Resistance Exercise Priming in the Morning on Afternoon Sprint Cross-Country Skiing Performance","Rud B, Øygard E, Dahl EB, Paulsen G, Losnegard T.","Int J Sports Physiol Perform. 2021 May 21;16(12):1786-1793. doi: 10.1123/ijspp.2020-0881.","Rud B","Int J Sports Physiol Perform","2021","2021/05/22","","","10.1123/ijspp.2020-0881"
"34020012","The impact of exercise intensity on neurophysiological indices of food-related inhibitory control and cognitive control: A randomized crossover event-related potential (ERP) study","Bailey BW, Muir AM, Bartholomew CL, Christensen WF, Carbine KA, Marsh H, LaCouture H, McCutcheon C, Larson MJ.","Neuroimage. 2021 Aug 15;237:118162. doi: 10.1016/j.neuroimage.2021.118162. Epub 2021 May 18.","Bailey BW","Neuroimage","2021","2021/05/21","","","10.1016/j.neuroimage.2021.118162"
"34016347","Effects of three-exercise sessions in the heat on endurance cycling performance","Callovini A, Fornasiero A, Savoldelli A, Stella F, Low DA, Pellegrini B, Schena F, Bortolan L.","J Therm Biol. 2021 May;98:102925. doi: 10.1016/j.jtherbio.2021.102925. Epub 2021 Apr 2.","Callovini A","J Therm Biol","2021","2021/05/21","","","10.1016/j.jtherbio.2021.102925"
"34016346","Effect of ice slurry ingestion on core temperature and blood pressure response after exercise in a hot environment","Nakamura M, Nakamura D, Yasumatsu M, Takahashi H.","J Therm Biol. 2021 May;98:102922. doi: 10.1016/j.jtherbio.2021.102922. Epub 2021 Apr 2.","Nakamura M","J Therm Biol","2021","2021/05/21","","","10.1016/j.jtherbio.2021.102922"
"34013747","No additive effect of acetaminophen when co-ingested with caffeine on cycling performance in well-trained young men","Jessen S, Eibye K, Christensen PM, Hostrup M, Bangsbo J.","J Appl Physiol (1985). 2021 Jul 1;131(1):238-249. doi: 10.1152/japplphysiol.00108.2021. Epub 2021 May 20.","Jessen S","J Appl Physiol (1985)","2021","2021/05/20","","","10.1152/japplphysiol.00108.2021"
"34013746","Effects of exercise training with weight loss on skeletal muscle expression of angiogenic factors in overweight and obese older men","Evans WS, Blumenthal JB, Heilman JM, Ryan AS, Prior SJ.","J Appl Physiol (1985). 2021 Jul 1;131(1):56-63. doi: 10.1152/japplphysiol.00084.2021. Epub 2021 May 20.","Evans WS","J Appl Physiol (1985)","2021","2021/05/20","PMC8325618","","10.1152/japplphysiol.00084.2021"
"34010546","Effects of Velocity Loss Threshold Within Resistance Training During Concurrent Training on Endurance and Strength Performance","Sánchez-Moreno M, Rodríguez-Rosell D, Díaz-Cueli D, Pareja-Blanco F, González-Badillo JJ.","Int J Sports Physiol Perform. 2021 Feb 24;16(6):849-857. doi: 10.1123/ijspp.2020-0349. Print 2021 Jun 1.","Sánchez-Moreno M","Int J Sports Physiol Perform","2021","2021/05/19","","","10.1123/ijspp.2020-0349"
"34006666","The Impact of Wearing and Perceiving Colors on Hormonal, Physiological, and Psychological Parameters in Cycling","Mentzel SV, Krenn B, Dreiskaemper D, Strauss B.","J Sport Exerc Psychol. 2021 May 17;43(4):298-309. doi: 10.1123/jsep.2020-0150.","Mentzel SV","J Sport Exerc Psychol","2021","2021/05/19","","","10.1123/jsep.2020-0150"
"34006204","Physical training considerations for optimizing performance in essential military tasks","Vaara JP, Groeller H, Drain J, Kyröläinen H, Pihlainen K, Ojanen T, Connaboy C, Santtila M, Agostinelli P, Nindl BC.","Eur J Sport Sci. 2022 Jan;22(1):43-57. doi: 10.1080/17461391.2021.1930193. Epub 2021 Jun 3.","Vaara JP","Eur J Sport Sci","2022","2021/05/19","","","10.1080/17461391.2021.1930193"
"34001218","Blood and skeletal muscle ageing determined by epigenetic clocks and their associations with physical activity and functioning","Sillanpää E, Heikkinen A, Kankaanpää A, Paavilainen A, Kujala UM, Tammelin TH, Kovanen V, Sipilä S, Pietiläinen KH, Kaprio J, Ollikainen M, Laakkonen EK.","Clin Epigenetics. 2021 May 17;13(1):110. doi: 10.1186/s13148-021-01094-6.","Sillanpää E","Clin Epigenetics","2021","2021/05/18","PMC8127311","","10.1186/s13148-021-01094-6"
"34001184","Performance effects of periodized carbohydrate restriction in endurance trained athletes - a systematic review and meta-analysis","Gejl KD, Nybo L.","J Int Soc Sports Nutr. 2021 May 17;18(1):37. doi: 10.1186/s12970-021-00435-3.","Gejl KD","J Int Soc Sports Nutr","2021","2021/05/18","PMC8127206","","10.1186/s12970-021-00435-3"
"34001168","The effect of probiotic supplementation on performance, inflammatory markers and gastro-intestinal symptoms in elite road cyclists","Schreiber C, Tamir S, Golan R, Weinstein A, Weinstein Y.","J Int Soc Sports Nutr. 2021 May 17;18(1):36. doi: 10.1186/s12970-021-00432-6.","Schreiber C","J Int Soc Sports Nutr","2021","2021/05/18","PMC8127283","","10.1186/s12970-021-00432-6"
"33998292","Exercise effect on insulin-dependent and insulin-independent glucose utilization in healthy individuals and individuals with type 1 diabetes: a modeling study","Romeres D, Schiavon M, Basu A, Cobelli C, Basu R, Dalla Man C.","Am J Physiol Endocrinol Metab. 2021 Jul 1;321(1):E122-E129. doi: 10.1152/ajpendo.00084.2021. Epub 2021 May 17.","Romeres D","Am J Physiol Endocrinol Metab","2021","2021/05/17","PMC8321821","","10.1152/ajpendo.00084.2021"
"33993836","A new energetics model for the assessment of the power-duration relationship during over-ground running","Vassallo C, Kilduff LP, Cummins C, Murphy A, Gray A, Waldron M.","Eur J Sport Sci. 2021 Jun 3:1-11. doi: 10.1080/17461391.2021.1931463. Online ahead of print.","Vassallo C","Eur J Sport Sci","2021","2021/05/17","","","10.1080/17461391.2021.1931463"
"33992799","Effects of increased respiratory rate on cortical oxygenated hemoglobin during low-intensity exercise","Oyanagi K, Tsubaki A.","Respir Physiol Neurobiol. 2021 Sep;291:103691. doi: 10.1016/j.resp.2021.103691. Epub 2021 May 14.","Oyanagi K","Respir Physiol Neurobiol","2021","2021/05/16","","","10.1016/j.resp.2021.103691"
"33989407","Effects of Physical Therapist Intervention on Pulmonary Function in Children With Cerebral Palsy: A Systematic Review and Meta-Analysis","Rutka M, Adamczyk WM, Linek P.","Phys Ther. 2021 Aug 1;101(8):pzab129. doi: 10.1093/ptj/pzab129.","Rutka M","Phys Ther","2021","2021/05/14","","","10.1093/ptj/pzab129"
